# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.60002000E-09  0.19126771E-02  0.00000000E+00  0.97425232E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.61002000E-09  0.19126771E-02  0.00000000E+00  0.99101432E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.62002000E-09  0.19126771E-02  0.00000000E+00  0.10077763E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.63002000E-09  0.19126771E-02  0.00000000E+00  0.10245383E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.64002000E-09  0.19126771E-02  0.00000000E+00  0.10413003E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.65002000E-09  0.19126771E-02  0.00000000E+00  0.10580623E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.66002000E-09  0.19126771E-02  0.00000000E+00  0.10748243E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.67002000E-09  0.19126771E-02  0.00000000E+00  0.10915863E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.68002000E-09  0.19126771E-02  0.00000000E+00  0.11083483E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.69002000E-09  0.19126771E-02  0.00000000E+00  0.11251103E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70002000E-09  0.19126771E-02  0.00000000E+00  0.11418723E+00  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
