# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.65002000E-09  0.11444631E+00  0.00000000E+00 -0.36132387E-01  0.16454492E+09 -0.81004378E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.66002000E-09  0.11608900E+00  0.00000000E+00 -0.35955113E-01  0.16399045E+09 -0.82121084E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.67002000E-09  0.11772610E+00  0.00000000E+00 -0.35777838E-01  0.16342808E+09 -0.83234628E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.68002000E-09  0.11935753E+00  0.00000000E+00 -0.35600564E-01  0.16285783E+09 -0.84344923E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.69002000E-09  0.12098323E+00  0.00000000E+00 -0.35423289E-01  0.16227974E+09 -0.85451886E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70002000E-09  0.12260310E+00  0.00000000E+00 -0.35246015E-01  0.16169384E+09 -0.86555433E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.71002000E-09  0.12421708E+00  0.00000000E+00 -0.35068741E-01  0.16110014E+09 -0.87655486E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.72002000E-09  0.12582508E+00  0.00000000E+00 -0.34891466E-01  0.16049869E+09 -0.88751965E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.73002000E-09  0.12742703E+00  0.00000000E+00 -0.34714192E-01  0.15988950E+09 -0.89844793E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.74002000E-09  0.12902284E+00  0.00000000E+00 -0.34536918E-01  0.15927262E+09 -0.90933894E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.75002000E-09  0.13061245E+00  0.00000000E+00 -0.34359643E-01  0.15864806E+09 -0.92019194E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.76002000E-09  0.13219578E+00  0.00000000E+00 -0.34182369E-01  0.15801587E+09 -0.93100620E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.77002000E-09  0.13377274E+00  0.00000000E+00 -0.34005094E-01  0.15737606E+09 -0.94178100E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.78002000E-09  0.13534327E+00  0.00000000E+00 -0.33827820E-01  0.15672868E+09 -0.95251565E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.79002000E-09  0.13690729E+00  0.00000000E+00 -0.33650546E-01  0.15607375E+09 -0.96320943E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80002000E-09  0.13846472E+00  0.00000000E+00 -0.33473271E-01  0.15541131E+09 -0.97386168E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.81002000E-09  0.14001549E+00  0.00000000E+00 -0.33295997E-01  0.15474138E+09 -0.98447172E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.82002000E-09  0.14155953E+00  0.00000000E+00 -0.33118722E-01  0.15406400E+09 -0.99503888E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.83002000E-09  0.14309675E+00  0.00000000E+00 -0.32941448E-01  0.15337920E+09 -0.10055625E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.84002000E-09  0.14462709E+00  0.00000000E+00 -0.32764174E-01  0.15268702E+09 -0.10160420E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.85002000E-09  0.14615046E+00  0.00000000E+00 -0.32586899E-01  0.15198749E+09 -0.10264766E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.86002000E-09  0.14766681E+00  0.00000000E+00 -0.32409625E-01  0.15128064E+09 -0.10368658E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.87002000E-09  0.14917605E+00  0.00000000E+00 -0.32232350E-01  0.15056651E+09 -0.10472089E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.88002000E-09  0.15067812E+00  0.00000000E+00 -0.32055076E-01  0.14984513E+09 -0.10575054E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.89002000E-09  0.15217293E+00  0.00000000E+00 -0.31877802E-01  0.14911654E+09 -0.10677546E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90002000E-09  0.15366042E+00  0.00000000E+00 -0.31700527E-01  0.14838076E+09 -0.10779559E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.91002000E-09  0.15514052E+00  0.00000000E+00 -0.31523253E-01  0.14763785E+09 -0.10881087E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.92002000E-09  0.15661316E+00  0.00000000E+00 -0.31345979E-01  0.14688782E+09 -0.10982125E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.93002000E-09  0.15807826E+00  0.00000000E+00 -0.31168704E-01  0.14613073E+09 -0.11082667E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.94002000E-09  0.15953575E+00  0.00000000E+00 -0.30991430E-01  0.14536660E+09 -0.11182706E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.95002000E-09  0.16098557E+00  0.00000000E+00 -0.30814155E-01  0.14459547E+09 -0.11282238E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.96002000E-09  0.16242764E+00  0.00000000E+00 -0.30636881E-01  0.14381739E+09 -0.11381256E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.97002000E-09  0.16386189E+00  0.00000000E+00 -0.30459607E-01  0.14303238E+09 -0.11479756E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.98002000E-09  0.16528826E+00  0.00000000E+00 -0.30282332E-01  0.14224048E+09 -0.11577731E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.99002000E-09  0.16670668E+00  0.00000000E+00 -0.30105058E-01  0.14144174E+09 -0.11675176E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000200E-08  0.16811707E+00  0.00000000E+00 -0.29927783E-01  0.14063619E+09 -0.11772087E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10100200E-08  0.16951938E+00  0.00000000E+00 -0.29750509E-01  0.13982387E+09 -0.11868456E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10200200E-08  0.17091353E+00  0.00000000E+00 -0.29573235E-01  0.13900482E+09 -0.11964280E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10300200E-08  0.17229945E+00  0.00000000E+00 -0.29395960E-01  0.13817908E+09 -0.12059553E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10400200E-08  0.17367709E+00  0.00000000E+00 -0.29218686E-01  0.13734669E+09 -0.12154270E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10500200E-08  0.17504636E+00  0.00000000E+00 -0.29041412E-01  0.13650769E+09 -0.12248425E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10600200E-08  0.17640722E+00  0.00000000E+00 -0.28864137E-01  0.13566211E+09 -0.12342014E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
